0;0;david e goldberg;;genetic algorithms in search optimization and machine learning;2812;549757;1989
231;0;david e goldberg;kumara sastry,martin v butz,mark hauschild,martin pelikan;performance of evolutionary algorithms on nk landscapes with nearest neighbor interactions and tunable overlap;0966B229;43F3068F;2009
232;0;david e goldberg;martin v butz,xavier llora,patrick o stalph;on the scalability of xcs f ;0966B229;43F3068F;2009
233;0;david e goldberg;thyago s p c duque;a new method for linkage learning in the ecga;0966B229;43F3068F;2009
234;0;david e goldberg;martin pelikan,elizabeth radetic;effects of a deterministic hill climber on hboa;0966B229;43F3068F;2009
235;0;david e goldberg;xavier llora,jose g morenotorres;binary representation in gene expression programming towards a better scalability;14439;45D416DF;2009
236;0;david e goldberg;xavier llora,jose g morenotorres;binary representation in gene expression programming towards a better scalability;0966B229;43F3068F;2009
237;0;david e goldberg;Jose Garcia Moreno-Torres,xavier llora;binary representation in gene expression programming towards a better scalability;5497;45D416DF;2009
238;0;david e goldberg;Jose Garcia Moreno-Torres,xavier llora;binary representation in gene expression programming towards a better scalability;5782;45D416DF;2009
239;0;david e goldberg;andre c p l f carvalho,thyago s p c duque,rosane m m vallim;the multi label ocs with a genetic algorithm for rule discovery implementation and first results;0966B229;43F3068F;2009
240;0;david e goldberg;;genetic algorithms in search optimization and machine learning;10592;37970;1989
241;0;david e goldberg;claudio f lima,martin pelikan,fernando g lobo;loopy substructural local search for the bayesian optimization algorithm;0966B229;0655F58A;2009
242;0;david e goldberg;xavier llora,jose g morenotorres;binary representation in gene expression programming towards a better scalability;13799;45D416DF;2009
243;0;david e goldberg;xavier llora,jose g morenotorres;binary representation in gene expression programming towards a better scalability;0966B229;43F3068F;2009
244;0;david e goldberg;Jose Garcia Moreno-Torres,xavier llora;binary representation in gene expression programming towards a better scalability;14256;45D416DF;2009
245;0;david e goldberg;Jose Garcia Moreno-Torres,xavier llora;binary representation in gene expression programming towards a better scalability;15305;45D416DF;2009
246;0;david e goldberg;roy h campbell,xavier llora,abhishek verma;scaling genetic algorithms using mapreduce;6209;45D416DF;2009
247;0;david e goldberg;kumara sastry,xavier llora;toward routine billion variable optimization using genetic algorithms short communication;0966B229;0C5B7193;2007
248;0;david e goldberg;jon richardson;genetic algorithms with sharing for multimodal function optimization;10730;1104020;1987
249;0;david e goldberg;r e smith;nonstationary function optimization using genetic algorithm with dominance and diploidy;9902;160309;1987
250;2;david e goldberg;manuel valenzuelarendon;two analysis tools to describe the operation of classifier systems;12081;1709005;1989
251;0;david e goldberg;dimitri knjazew;solving permutation problems with the ordering messy genetic algorithm;0966B229;002148B6;2003
252;1;david e goldberg;yedidyah langsam,keith harrow;teching pl i using a microcomputer;04F31C2A;09B201F7;1986
253;0;david e goldberg;kumara sastry,minqiang li,tianli yu;performance analyses of factorization based on gaussian pdf in recga;18902;327616;2007
254;0;david e goldberg;t s p duque,kumara sastry,alexandre c b delbem;evolutionary algorithm for large scale problems;6406;45D416DF;2007
255;0;david e goldberg;marco dorigo,stephanie forrest,r e smith,stewart w wilson,rick l riolo,lashon b booker,wolfgang stolzmann,john h holland,marco colombetti,pier luca lanzi;what is a learning classifier system ;0966B229;487501;2000
256;0;david e goldberg;robert lingle;alleleslociand the traveling salesman problem;13695;43319DD4;1985
